,Total Meal Fares,Total Delivery Fees,Total Restaurant Commissions,Total Orders,Marketplace Fee
Restaurant 296,8466.7,2225,2120.33,890,0.250431691
Restaurant 297,10059.68,1267.5,2517.98,507,0.250304185
Restaurant 298,2942.81,780,882.85,312,0.300002379
Restaurant 299,9208.55,1197.5,2764.44,479,0.300203615
Restaurant 300,17255.8,3135,5170.99,1254,0.299666779
Restaurant 301,6759.44,2170,1741.17,868,0.257590866
Restaurant 302,1731.05,252.5,606.04,101,0.350099651
Restaurant 303,14425,2337.5,3605.37,935,0.249938995
Restaurant 304,11386.6,1102.5,3419.83,441,0.300338117
Restaurant 305,18087.8,2067.5,4521.71,827,0.249986731
Restaurant 306,1372.61,217.5,481.12,87,0.350514713
Restaurant 307,1517.4,382.5,417.61,153,0.275214182
Restaurant 308,37786.7,4482.5,9455.33,1793,0.250229049
Restaurant 309,23346.95,2762.5,8053.81,1105,0.344961976
Restaurant 310,61.11,17.5,21.41,7,0.350351825
Restaurant 311,4996.45,602.5,1499.53,241,0.300119085
Restaurant 312,698.05,85,209.5,34,0.300121768
Restaurant 313,12721.55,1302.5,3826.16,521,0.300762093
Restaurant 314,7303.95,717.5,2201.3,287,0.301384867
Restaurant 315,10641.5,1012.5,3194.1,405,0.300155053
Restaurant 316,66718.4,8490,16683.83,3396,0.250063401
Restaurant 317,431.2,52.5,107.83,21,0.250069573
Restaurant 318,208.48,32.5,72.98,13,0.350057559
Restaurant 319,465.6,135,139.91,54,0.300493986
Restaurant 320,2195.2,307.5,654.06,123,0.297950073
Restaurant 321,5137.996,512.5,1544.05,205,0.300515999
Restaurant 322,222.15,32.5,77.76,13,0.350033761
Restaurant 323,7542.75,687.5,2255.21,275,0.298990421
Restaurant 324,811.6,242.5,203.18,97,0.250344998
Restaurant 325,149.2,17.5,52.24,7,0.350134048
Restaurant 326,4231.15,612.5,1481.32,245,0.350098673
Restaurant 327,211,37.5,61.03,15,0.289241706
Restaurant 328,5419.86,1197.5,1901.11,479,0.350767363
Restaurant 329,2284.8,280,571.44,112,0.250105042
Restaurant 330,62195.2,5820,18659.15,2329,0.300009486
Restaurant 331,8802.15,1790,2642.46,716,0.3002062
Restaurant 332,3633.51,435,1272.21,174,0.350132516
Restaurant 333,2117.78,192.5,529.58,77,0.250063746
Restaurant 334,2241.15,347.5,671.44,139,0.299596189
Restaurant 335,464.5,32.5,116.15,13,0.250053821
Restaurant 336,26649.4,2972.5,6662.43,1189,0.250003002
Restaurant 337,1271.48,162.5,445.09,65,0.350056627
Restaurant 338,7030.5,865,1971.66,346,0.280443781
Restaurant 339,247.5,27.5,74.25,11,0.3
Restaurant 340,2168.35,360,759.05,144,0.3500588
Restaurant 341,1936.02,395,679.26,158,0.350853813
Restaurant 342,6180.23,1262.5,2154.58,505,0.348624566
Restaurant 343,11783.95,1845,2967.06,738,0.251788237
Restaurant 344,12558.8,3590,2505.67,1436,0.199515081
Restaurant 345,1577.55,165,552.22,66,0.350049127
Restaurant 346,3585.58,435,1079.28,174,0.301005695
Restaurant 347,19345.89,1960,4840.01,784,0.250182855
Restaurant 348,171.08,25,59.87,10,0.349953238
Restaurant 349,4827,632.5,1447.2,253,0.299813549
Restaurant 350,541.65,77.5,114.68,31,0.211723438
Restaurant 351,1270.45,150,444.69,60,0.350025581
Restaurant 352,57974.6,6120,17399.31,2448,0.300119535
Restaurant 353,823.5,180,237.75,72,0.28870674
Restaurant 354,2074.11,212.5,727.76,85,0.350878208
Restaurant 355,17914.05,2295,3825.16,918,0.213528487
Restaurant 356,863,195,258.9,78,0.3
Restaurant 357,2320.23,492.5,696.51,197,0.300190067
Restaurant 358,7329.05,1737.5,2210.04,695,0.301545221
Restaurant 359,2491.35,342.5,872.16,137,0.35007526
Restaurant 360,22167.85,2957.5,5542.87,1183,0.250040938
Restaurant 361,4646.8,782.5,1394.82,313,0.300167857
Restaurant 362,4467.2,492.5,1344.75,197,0.301027489
Restaurant 363,2449.46,625,614.7,250,0.250953271
Restaurant 364,3963.26,472.5,992.55,189,0.250437771
Restaurant 365,1998.07,277.5,699.34,111,0.350007757
Restaurant 366,2807.75,622.5,703.03,249,0.250389102
Restaurant 367,43265.45,5790,10820.41,2316,0.25009355
Restaurant 368,2725.4,290,681.56,116,0.250077053
Restaurant 369,5279.75,672.5,1320.55,269,0.250116009
Restaurant 370,8180.9,1072.5,2864.39,429,0.350131404
Restaurant 371,35521.65,4415,7680.96,1766,0.216233199
Restaurant 372,2712.85,412.5,814.18,165,0.3001198
Restaurant 373,1676.65,177.5,503.15,71,0.300092446
Restaurant 374,5525.8,687.5,1172.92,275,0.212262478
Restaurant 375,3654,557.5,1102.8,223,0.30180624
Restaurant 376,7192.1,740,1807.87,296,0.251368863
Restaurant 377,4139.52,857.5,1241.94,343,0.300020292
Restaurant 378,4324.65,975,1513,390,0.349854902
Restaurant 379,1523.4,267.5,457.02,107,0.3
Restaurant 380,15532.93,3522.5,4662.49,1409,0.300168094
Restaurant 381,7583.95,940,1896.5,376,0.250067577
Restaurant 382,3638.5,315,1091.55,126,0.3
Restaurant 383,1267.95,152.5,443.89,61,0.350084783
Restaurant 384,4692.1,610,1185.31,244,0.252618231
Restaurant 385,687.8,162.5,240.78,65,0.350072696
Restaurant 386,1326.8,280,465.36,112,0.350738619
Restaurant 387,1191.2,202.5,297.9,81,0.250083949
Restaurant 388,6180.97,1560,1852.9,624,0.299774954
Restaurant 389,12759.41,2092.5,3830.36,837,0.300198834
Restaurant 390,1038.31,177.5,363.57,71,0.350155541
Restaurant 391,38735.5,4680,11625.22,1872,0.30011798
Restaurant 392,86552.27,16052.5,18377.16,6421,0.212324414
Restaurant 393,12905.05,2475,3227.06,990,0.250061798
Restaurant 394,3985.45,1175,1298.77,470,0.325877881
Restaurant 395,211.85,22.5,63.58,9,0.300118008
Restaurant 396,213.53,72.5,74.77,29,0.35016157
Restaurant 397,5352.55,517.5,1338.47,207,0.25006212
Restaurant 398,7219.46,1697.5,2528.81,679,0.350276891
Restaurant 399,2449.8,617.5,734.94,247,0.3
Restaurant 400,4752.26,1067.5,1186.23,427,0.249613868
Restaurant 401,10845.4,2482.5,3246.06,993,0.29930293
Restaurant 402,108.15,22.5,38.01,9,0.351456311
Restaurant 403,16492.55,2267.5,4969.87,907,0.301340302
Restaurant 404,988.65,230,247.23,92,0.250068275
Restaurant 405,5483.5,845,1918.18,338,0.349809428
Restaurant 406,55233.5,5277.5,13803.58,2111,0.249913187
Restaurant 407,3063,272.5,1073.8,109,0.350571335
Restaurant 408,13707.75,1795,4113.98,718,0.300120735
Restaurant 409,31.45,5,11.01,2,0.350079491
Restaurant 410,10544.8,1942.5,3192.14,777,0.302721721
Restaurant 411,20441.3,2877.5,5112.17,1151,0.250090258
Restaurant 412,0.01,2.5,0,1,0
Restaurant 413,146.8,17.5,44.04,7,0.3
Restaurant 414,1377.9,197.5,413.56,79,0.300137891
Restaurant 415,119.4,15,35.82,6,0.3
Restaurant 416,9089.5,1275,2728.18,510,0.300146323
Restaurant 417,2246,272.5,673.8,109,0.3
Restaurant 418,33,2.5,8.25,1,0.25
Restaurant 419,126,20,31.5,8,0.25
Restaurant 420,254,52.5,88.9,21,0.35
Restaurant 421,5921.35,620,1777.03,248,0.30010555
Restaurant 422,1121.96,312.5,308.56,125,0.275018717
Restaurant 423,6239.45,752.5,1873.65,301,0.300290891
Restaurant 424,593.9,47.5,178.17,19,0.3
Restaurant 425,10328.53,2775,1849.58,1110,0.179074854
Restaurant 426,1668.9,177.5,584.22,71,0.350062916
Restaurant 427,10627.23,1240,3189.5,496,0.300125244
Restaurant 428,2985.4,390,895.98,156,0.300120587
Restaurant 429,931.93,200,233.19,80,0.250222656
Restaurant 430,11161.7,1085,3386.55,434,0.303408083
Restaurant 431,6722.3,1470,1675.64,588,0.249265876
Restaurant 432,7651.2,865,2296.11,346,0.300098024
Restaurant 433,54108.14,8185,13536.45,3274,0.250174003
Restaurant 434,13312.65,2722.5,4005.5,1089,0.300879239
Restaurant 435,4555.55,682.5,1367.29,273,0.300137195
Restaurant 436,21715.3,2435,5447.05,974,0.25083927
Restaurant 437,51054.1,5877.5,15254.94,2351,0.298799509
Restaurant 438,4844.38,620,1461.22,248,0.301631994
Restaurant 439,59053.3,6462.5,17714.64,2585,0.299977139
Restaurant 440,5195.65,787.5,1078.2,315,0.207519752
Restaurant 441,15745.35,3630,3137.07,1452,0.19923787
Restaurant 442,1845.89,340,551.9,136,0.298988564
Restaurant 443,38.5,7.5,11.55,3,0.3
Restaurant 444,5332.53,895,1866.71,358,0.350060853
Restaurant 445,1421.55,227.5,355.51,91,0.250086174
Restaurant 446,2282,297.5,684.6,119,0.3
Restaurant 447,18347.8,3030,3963.26,1212,0.216007369
Restaurant 448,0.01,2.5,0,1,0
Restaurant 449,711,150,213.3,60,0.3
Restaurant 450,10118.15,1160,3039.12,464,0.300363209
Restaurant 451,1453.55,177.5,436.21,71,0.300099756
Restaurant 452,1582.86,347.5,397.7,139,0.251254059
Restaurant 453,1811.94,440,634.67,176,0.35027098
Restaurant 454,1817.3,432.5,448.14,173,0.246596599
Restaurant 455,1895.4,197.5,568.63,79,0.300005276
Restaurant 456,1747.65,262.5,525.38,105,0.300620834
Restaurant 457,40,7.5,12,3,0.3
Restaurant 458,363.82,35,127.36,14,0.350063218
Restaurant 459,22818,2302.5,5711.43,921,0.250303708
Restaurant 460,24938.1,3797.5,7496.86,1519,0.300618732
Restaurant 461,1536.22,300,537.95,120,0.350177709
Restaurant 462,8723.42,1165,3039.33,466,0.348410371
Restaurant 463,9250.8,1535,2775.24,614,0.3
Restaurant 464,2666.5,392.5,935.62,157,0.35087943
Restaurant 465,19,5,6.65,2,0.35
Restaurant 466,2320.25,310,696.4,124,0.300140071
Restaurant 467,5475.4,1017.5,1642.27,407,0.299936078
Restaurant 468,3438.81,440,1199.64,176,0.348853237
Restaurant 469,2317.45,470,579.7,188,0.250145634
Restaurant 470,7711,985,2702.9,394,0.350525224
Restaurant 471,55399,2692.5,16627.33,1077,0.300137728
Restaurant 472,774.7,117.5,271.24,47,0.350122628
Restaurant 473,17394.55,2537.5,4346.68,1015,0.249887465
Restaurant 474,4620.3,547.5,1155.44,219,0.250078999
Restaurant 475,4259.15,487.5,1065.17,195,0.250089807
Restaurant 476,50.3,17.5,15.1,7,0.300198807
Restaurant 477,18530.75,2375,4626.12,950,0.249645589
Restaurant 478,14708.37,2337.5,3679.06,935,0.250133767
Restaurant 479,4616.4,575,1387.51,230,0.300561043
Restaurant 480,4533.41,1380,1809.58,552,0.399165308
Restaurant 481,47555.3,2870,11895.34,1148,0.250136998
Restaurant 482,12068.68,1457.5,4224.39,583,0.350029166
Restaurant 483,43184,6225,10788.36,2490,0.249823083
Restaurant 484,3186.91,482.5,1112.43,193,0.349062258
Restaurant 485,971.7,145,340.14,58,0.350046311
Restaurant 486,13734.5,2195,3437.86,878,0.250308348
